日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-02-05,601212,2.82,2.85,2.85,2.8,562057,159100799.0,1.79,2.15,0.06,0.76
2025-02-06,601212,2.84,2.86,2.86,2.82,462933,131587368.0,1.4,0.35,0.01,0.63
2025-02-07,601212,2.85,2.89,2.92,2.84,561963,162242316.0,2.8,1.05,0.03,0.76
2025-02-10,601212,2.9,2.9,2.93,2.88,413583,120072416.0,1.73,0.35,0.01,0.56
2025-02-11,601212,2.92,2.9,2.94,2.89,590715,172032786.0,1.72,0.0,0.0,0.8
2025-02-12,601212,2.89,2.88,2.89,2.84,508889,145952736.0,1.72,-0.69,-0.02,0.69
2025-02-13,601212,2.88,2.87,2.9,2.86,327777,94363982.0,1.39,-0.35,-0.01,0.44
2025-02-14,601212,2.88,2.88,2.89,2.84,499668,143232400.0,1.74,0.35,0.01,0.67
2025-02-17,601212,2.87,2.85,2.87,2.83,446005,127062393.0,1.39,-1.04,-0.03,0.6
2025-02-18,601212,2.86,2.81,2.86,2.8,464784,131493752.0,2.11,-1.4,-0.04,0.63
2025-02-19,601212,2.81,2.81,2.82,2.79,353165,99121524.0,1.07,0.0,0.0,0.48
2025-02-20,601212,2.8,2.81,2.82,2.78,385366,108096357.0,1.42,0.0,0.0,0.52
2025-02-21,601212,2.81,2.8,2.83,2.78,468108,130989617.0,1.78,-0.36,-0.01,0.63
2025-02-24,601212,2.79,2.79,2.82,2.78,502278,140718831.0,1.43,-0.36,-0.01,0.68
2025-02-25,601212,2.79,2.77,2.8,2.76,375837,104548975.0,1.43,-0.72,-0.02,0.51
2025-02-26,601212,2.77,2.8,2.82,2.77,541973,151712689.0,1.81,1.08,0.03,0.73
2025-02-27,601212,2.8,2.77,2.81,2.74,481333,133359236.0,2.5,-1.07,-0.03,0.65
2025-02-28,601212,2.76,2.71,2.77,2.7,482317,131901657.0,2.53,-2.17,-0.06,0.65
2025-03-03,601212,2.71,2.72,2.77,2.71,535884,146828077.0,2.21,0.37,0.01,0.72
2025-03-04,601212,2.73,2.76,2.77,2.71,421376,115670578.0,2.21,1.47,0.04,0.57
2025-03-05,601212,2.76,2.79,2.79,2.72,432252,119080946.0,2.54,1.09,0.03,0.58
2025-03-06,601212,2.8,2.81,2.83,2.79,567242,159683233.0,1.43,0.72,0.02,0.77
2025-03-07,601212,2.82,2.83,2.87,2.8,721861,205595520.0,2.49,0.71,0.02,0.97
2025-03-10,601212,2.84,2.85,2.86,2.81,499985,141683918.0,1.77,0.71,0.02,0.68
2025-03-11,601212,2.83,2.88,2.88,2.8,588859,167415646.0,2.81,1.05,0.03,0.8
2025-03-12,601212,2.88,2.87,2.9,2.86,434961,125110615.0,1.39,-0.35,-0.01,0.59
2025-03-13,601212,2.87,2.86,2.89,2.83,395978,112914232.0,2.09,-0.35,-0.01,0.53
2025-03-14,601212,2.91,2.92,2.98,2.88,895517,261539490.0,3.5,2.1,0.06,1.21
2025-03-17,601212,2.91,2.88,2.94,2.88,606124,176029331.0,2.05,-1.37,-0.04,0.82
2025-03-18,601212,2.9,2.93,2.98,2.88,880167,258427695.0,3.47,1.74,0.05,1.19
2025-03-19,601212,2.94,2.95,2.97,2.91,614578,180842754.0,2.05,0.68,0.02,0.83
2025-03-20,601212,2.95,2.93,2.98,2.92,474487,139858033.0,2.03,-0.68,-0.02,0.64
2025-03-21,601212,2.92,2.89,2.95,2.87,591289,172065535.0,2.73,-1.37,-0.04,0.8
2025-03-24,601212,2.88,2.95,2.99,2.86,909776,266025874.0,4.5,2.08,0.06,1.23
2025-03-25,601212,2.95,3.01,3.05,2.93,1162911,349325685.0,4.07,2.03,0.06,1.57
2025-03-26,601212,3.05,3.11,3.31,3.04,2441081,771264239.0,8.97,3.32,0.1,3.3
2025-03-27,601212,3.04,2.99,3.08,2.98,1232121,370587888.0,3.22,-3.86,-0.12,1.66
2025-03-28,601212,3.02,2.96,3.05,2.94,917572,273415767.0,3.68,-1.0,-0.03,1.24
2025-03-31,601212,2.93,2.94,2.96,2.89,851733,249265731.0,2.36,-0.68,-0.02,1.15
2025-04-01,601212,2.94,2.97,3.0,2.93,782069,232144555.0,2.38,1.02,0.03,1.06
2025-04-02,601212,2.96,2.9,2.96,2.9,635032,185721203.0,2.02,-2.36,-0.07,0.86
2025-04-03,601212,2.89,2.91,2.96,2.88,732574,213997793.0,2.76,0.34,0.01,0.99
2025-04-07,601212,2.72,2.62,2.77,2.62,1003955,266905138.0,5.15,-9.97,-0.29,1.36
2025-04-08,601212,2.6,2.6,2.63,2.56,890707,231114046.0,2.67,-0.76,-0.02,1.2
2025-04-09,601212,2.56,2.61,2.63,2.45,883468,225124462.0,6.92,0.38,0.01,1.19
2025-04-10,601212,2.65,2.67,2.69,2.63,772058,205982159.0,2.3,2.3,0.06,1.04
2025-04-11,601212,2.68,2.69,2.74,2.67,765876,207524005.0,2.62,0.75,0.02,1.03
2025-04-14,601212,2.73,2.8,2.81,2.71,816651,226577397.0,3.72,4.09,0.11,1.1
2025-04-15,601212,2.79,2.75,2.8,2.73,513715,141386632.0,2.5,-1.79,-0.05,0.69
2025-04-16,601212,2.77,2.73,2.78,2.69,539322,146944005.0,3.27,-0.73,-0.02,0.73
2025-04-17,601212,2.75,2.74,2.78,2.74,580930,160101465.0,1.47,0.37,0.01,0.78
2025-04-18,601212,2.74,2.74,2.75,2.7,380497,103440620.0,1.82,0.0,0.0,0.51
2025-04-21,601212,2.75,2.86,2.86,2.73,851940,239750779.0,4.74,4.38,0.12,1.15
2025-04-22,601212,2.86,2.87,2.88,2.82,692358,197457392.0,2.1,0.35,0.01,0.94
2025-04-23,601212,2.85,2.79,2.86,2.78,679866,191023191.0,2.79,-2.79,-0.08,0.92
2025-04-24,601212,2.81,2.75,2.81,2.74,424120,117513077.0,2.51,-1.43,-0.04,0.57
2025-04-25,601212,2.76,2.75,2.79,2.74,438559,121144200.0,1.82,0.0,0.0,0.59
2025-04-28,601212,2.75,2.71,2.76,2.7,431452,117386820.0,2.18,-1.45,-0.04,0.58
2025-04-29,601212,2.71,2.75,2.76,2.7,429833,117815144.0,2.21,1.48,0.04,0.58
2025-04-30,601212,2.75,2.71,2.76,2.7,497123,135275160.0,2.18,-1.45,-0.04,0.67
2025-05-06,601212,2.72,2.83,2.83,2.72,862822,240957529.0,4.06,4.43,0.12,1.17
2025-05-07,601212,2.82,2.82,2.85,2.79,439118,123492916.0,2.12,-0.35,-0.01,0.59
2025-05-08,601212,2.82,2.8,2.82,2.8,396507,111397262.0,0.71,-0.71,-0.02,0.54
2025-05-09,601212,2.8,2.79,2.81,2.77,326588,90926755.0,1.43,-0.36,-0.01,0.44
2025-05-12,601212,2.79,2.8,2.81,2.78,263640,73721078.0,1.08,0.36,0.01,0.36
2025-05-13,601212,2.81,2.79,2.82,2.77,354678,99004701.0,1.79,-0.36,-0.01,0.48
2025-05-14,601212,2.79,2.81,2.82,2.78,339796,95090094.0,1.43,0.72,0.02,0.46
2025-05-15,601212,2.8,2.78,2.81,2.77,344523,95958056.0,1.42,-1.07,-0.03,0.47
2025-05-16,601212,2.78,2.79,2.81,2.77,351809,98200902.0,1.44,0.36,0.01,0.48
2025-05-19,601212,2.78,2.8,2.81,2.77,310321,86684787.0,1.43,0.36,0.01,0.42
2025-05-20,601212,2.8,2.81,2.83,2.78,407132,114222355.0,1.79,0.36,0.01,0.55
2025-05-21,601212,2.83,2.85,2.87,2.81,586575,166598210.0,2.14,1.42,0.04,0.79
2025-05-22,601212,2.85,2.81,2.87,2.8,441365,124963243.0,2.46,-1.4,-0.04,0.6
2025-05-23,601212,2.8,2.78,2.82,2.78,327868,91759551.0,1.42,-1.07,-0.03,0.44
2025-05-26,601212,2.79,2.86,2.88,2.78,824217,234082958.0,3.6,2.88,0.08,1.11
2025-05-27,601212,2.86,2.81,2.87,2.79,623286,175534684.0,2.8,-1.75,-0.05,0.84
2025-05-28,601212,2.81,2.8,2.83,2.79,392123,110108393.0,1.42,-0.36,-0.01,0.53
2025-05-29,601212,2.8,2.84,2.84,2.79,417808,118051737.0,1.79,1.43,0.04,0.56
2025-05-30,601212,2.83,2.8,2.84,2.79,406801,114061501.0,1.76,-1.41,-0.04,0.55
2025-06-03,601212,2.82,2.93,2.94,2.81,1160969,336254022.0,4.64,4.64,0.13,1.57
2025-06-04,601212,2.92,2.96,3.01,2.9,972514,288781212.0,3.75,1.02,0.03,1.31
2025-06-05,601212,2.96,2.9,2.99,2.89,630000,184576041.0,3.38,-2.03,-0.06,0.85
2025-06-06,601212,2.99,3.19,3.19,2.99,2408422,760807246.0,6.9,10.0,0.29,3.25
2025-06-09,601212,3.14,3.11,3.15,3.06,2862896,884118091.0,2.82,-2.51,-0.08,3.87
2025-06-10,601212,3.11,3.09,3.14,3.06,1595834,493186226.0,2.57,-0.64,-0.02,2.16
2025-06-11,601212,3.07,3.09,3.12,3.07,1404080,434291341.0,1.62,0.0,0.0,1.9
2025-06-12,601212,3.09,3.14,3.16,3.07,1634336,508205554.0,2.91,1.62,0.05,2.21
2025-06-13,601212,3.14,3.12,3.19,3.09,1671825,523155704.0,3.18,-0.64,-0.02,2.26
2025-06-16,601212,3.09,3.11,3.13,3.07,979144,303268787.0,1.92,-0.32,-0.01,1.32
2025-06-17,601212,3.09,3.1,3.14,3.08,575091,178301764.0,1.93,-0.32,-0.01,0.78
2025-06-18,601212,3.17,3.14,3.23,3.07,1807616,568171297.0,5.16,1.29,0.04,2.44
2025-06-19,601212,3.08,3.0,3.09,2.99,1360736,412006966.0,3.18,-4.46,-0.14,1.84
2025-06-20,601212,2.99,2.95,3.0,2.94,726121,215052734.0,2.0,-1.67,-0.05,0.98
2025-06-23,601212,2.96,2.98,3.0,2.94,588734,175323348.0,2.03,1.02,0.03,0.8
2025-06-24,601212,2.98,2.99,3.01,2.96,581551,174037843.0,1.68,0.34,0.01,0.79
2025-06-25,601212,2.98,2.99,3.0,2.95,683730,203344100.0,1.67,0.0,0.0,0.92
2025-06-26,601212,3.01,3.04,3.07,3.0,847032,257476545.0,2.34,1.67,0.05,1.14
2025-06-27,601212,3.07,3.15,3.2,3.07,1723868,542341044.0,4.28,3.62,0.11,2.33
2025-06-30,601212,3.15,3.13,3.17,3.1,805441,252474792.0,2.22,-0.63,-0.02,1.09
2025-07-01,601212,3.13,3.26,3.27,3.1,1344143,427605237.0,5.43,4.15,0.13,1.82
2025-07-02,601212,3.22,3.32,3.44,3.2,2203874,733202008.0,7.36,1.84,0.06,2.98
2025-07-03,601212,3.32,3.35,3.44,3.3,1508811,506719662.0,4.22,0.9,0.03,2.04
2025-07-04,601212,3.31,3.27,3.32,3.25,1105240,362817936.0,2.09,-2.39,-0.08,1.49
2025-07-07,601212,3.22,3.23,3.27,3.2,764400,247160299.0,2.14,-1.22,-0.04,1.03
2025-07-08,601212,3.22,3.23,3.26,3.22,662808,214886225.0,1.24,0.0,0.0,0.9
2025-07-09,601212,3.26,3.15,3.29,3.14,1051611,334895238.0,4.64,-2.48,-0.08,1.42
2025-07-10,601212,3.13,3.18,3.18,3.13,708131,223454888.0,1.59,0.95,0.03,0.96
2025-07-11,601212,3.2,3.29,3.36,3.18,1649714,539784948.0,5.66,3.46,0.11,2.23
2025-07-14,601212,3.4,3.52,3.62,3.33,3966725,1405438994.0,8.81,6.99,0.23,5.36
2025-07-15,601212,3.35,3.25,3.43,3.19,3124746,1027655730.0,6.82,-7.67,-0.27,4.22
2025-07-16,601212,3.24,3.19,3.25,3.16,1191614,380811615.0,2.77,-1.85,-0.06,1.61
2025-07-17,601212,3.19,3.21,3.22,3.17,887170,283715037.0,1.57,0.63,0.02,1.2
2025-07-18,601212,3.23,3.25,3.29,3.21,1377901,448093408.0,2.49,1.25,0.04,1.86
2025-07-21,601212,3.26,3.35,3.36,3.25,1380779,458701544.0,3.38,3.08,0.1,1.86
2025-07-22,601212,3.4,3.43,3.49,3.36,1778888,609306634.0,3.88,2.39,0.08,2.4
2025-07-23,601212,3.46,3.42,3.51,3.39,1432870,494155354.0,3.5,-0.29,-0.01,1.94
2025-07-24,601212,3.4,3.46,3.49,3.37,1038389,356805814.0,3.51,1.17,0.04,1.4
2025-07-25,601212,3.45,3.38,3.45,3.37,908005,308219829.0,2.31,-2.31,-0.08,1.23
2025-07-28,601212,3.35,3.31,3.35,3.27,913066,301993478.0,2.37,-2.07,-0.07,1.23
2025-07-29,601212,3.29,3.32,3.33,3.28,735745,242890926.0,1.51,0.3,0.01,0.99
2025-07-30,601212,3.33,3.29,3.34,3.25,660241,217960653.0,2.71,-0.9,-0.03,0.89
2025-07-31,601212,3.23,3.16,3.23,3.14,1051041,334379042.0,2.74,-3.95,-0.13,1.42
2025-08-01,601212,3.16,3.15,3.19,3.14,508296,160410527.0,1.58,-0.32,-0.01,0.69
2025-08-04,601212,3.16,3.21,3.22,3.14,684587,217702851.0,2.54,1.9,0.06,0.92
2025-08-05,601212,3.23,3.31,3.44,3.22,1467159,487354296.0,6.85,3.12,0.1,1.98
2025-08-06,601212,3.32,3.32,3.39,3.31,1037343,346449133.0,2.42,0.3,0.01,1.4
2025-08-07,601212,3.34,3.33,3.35,3.25,822228,270586595.0,3.01,0.3,0.01,1.11
2025-08-08,601212,3.33,3.35,3.37,3.32,792942,265300955.0,1.5,0.6,0.02,1.07
2025-08-11,601212,3.34,3.31,3.34,3.27,762186,251415078.0,2.09,-1.19,-0.04,1.03
2025-08-12,601212,3.29,3.26,3.3,3.24,627341,204637169.0,1.81,-1.51,-0.05,0.85
2025-08-13,601212,3.26,3.39,3.39,3.25,1267392,422984111.0,4.29,3.99,0.13,1.71
2025-08-14,601212,3.39,3.34,3.43,3.33,905814,306137243.0,2.95,-1.47,-0.05,1.22
2025-08-15,601212,3.31,3.37,3.42,3.3,814232,274527319.0,3.59,0.9,0.03,1.1
2025-08-18,601212,3.37,3.36,3.39,3.33,914245,306452911.0,1.78,-0.3,-0.01,1.23
2025-08-19,601212,3.35,3.33,3.37,3.31,667637,222601774.0,1.79,-0.89,-0.03,0.9
2025-08-20,601212,3.31,3.4,3.46,3.3,1082155,367289662.0,4.8,2.1,0.07,1.46
2025-08-21,601212,3.4,3.37,3.44,3.35,752924,254957255.0,2.65,-0.88,-0.03,1.02
2025-08-22,601212,3.37,3.4,3.43,3.36,937672,318220329.0,2.08,0.89,0.03,1.27
2025-08-25,601212,3.44,3.62,3.67,3.44,2124218,761580237.0,6.76,6.47,0.22,2.87
2025-08-26,601212,3.59,3.61,3.63,3.53,1213418,435337266.0,2.76,-0.28,-0.01,1.64
