日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-02-05,000901,10.32,10.49,10.59,10.28,155821,163527195.16,3.03,2.54,0.26,1.95
2025-02-06,000901,10.5,10.89,10.9,10.39,189919,203434246.71,4.86,3.81,0.4,2.38
2025-02-07,000901,10.9,11.11,11.22,10.9,225567,249812445.84,2.94,2.02,0.22,2.83
2025-02-10,000901,11.14,11.35,11.37,11.14,195165,220405777.72,2.07,2.16,0.24,2.45
2025-02-11,000901,11.35,11.24,11.35,11.17,136805,153659971.48,1.59,-0.97,-0.11,1.71
2025-02-12,000901,11.24,11.37,11.44,11.17,133287,151327712.74,2.4,1.16,0.13,1.67
2025-02-13,000901,11.38,11.21,11.44,11.2,155155,175335119.62,2.11,-1.41,-0.16,1.94
2025-02-14,000901,11.18,11.2,11.26,11.1,134325,150118092.57,1.43,-0.09,-0.01,1.68
2025-02-17,000901,11.23,11.25,11.33,11.2,134318,151298139.16,1.16,0.45,0.05,1.68
2025-02-18,000901,11.25,10.99,11.28,10.93,137602,152841441.14,3.11,-2.31,-0.26,1.72
2025-02-19,000901,10.98,11.07,11.15,10.93,124104,137699189.22,2.0,0.73,0.08,1.55
2025-02-20,000901,11.07,11.32,11.33,11.0,231653,260520603.69,2.98,2.26,0.25,2.9
2025-02-21,000901,11.29,11.31,11.31,11.13,175272,197022441.06,1.59,-0.09,-0.01,2.2
2025-02-24,000901,11.29,11.34,11.48,11.2,201793,229006386.12,2.48,0.27,0.03,2.53
2025-02-25,000901,11.23,11.31,11.45,11.14,162023,183594352.4,2.73,-0.26,-0.03,2.03
2025-02-26,000901,11.3,11.41,11.46,11.25,155495,176894658.39,1.86,0.88,0.1,1.95
2025-02-27,000901,11.38,11.25,11.45,11.06,167636,188355853.82,3.42,-1.4,-0.16,2.1
2025-02-28,000901,11.2,10.72,11.25,10.67,198021,215736325.74,5.16,-4.71,-0.53,2.48
2025-03-03,000901,10.77,10.84,11.03,10.68,137926,150261641.4,3.26,1.12,0.12,1.73
2025-03-04,000901,10.88,11.3,11.48,10.81,274872,308442658.87,6.18,4.24,0.46,3.44
2025-03-05,000901,11.43,11.9,12.07,11.25,571771,665270493.43,7.26,5.31,0.6,7.16
2025-03-06,000901,11.91,11.96,12.03,11.74,451118,537697817.24,2.44,0.5,0.06,5.65
2025-03-07,000901,11.96,11.85,12.11,11.74,353300,421435763.51,3.09,-0.92,-0.11,4.43
2025-03-10,000901,11.83,11.79,11.94,11.74,202407,239380728.38,1.69,-0.51,-0.06,2.54
2025-03-11,000901,11.66,11.87,11.98,11.62,191993,226868737.87,3.05,0.68,0.08,2.41
2025-03-12,000901,11.94,11.88,12.05,11.8,206680,246196543.48,2.11,0.08,0.01,2.59
2025-03-13,000901,11.85,11.69,11.89,11.46,190946,222083566.82,3.62,-1.6,-0.19,2.39
2025-03-14,000901,11.69,11.73,11.78,11.43,172156,200531327.17,2.99,0.34,0.04,2.16
2025-03-17,000901,11.77,11.7,11.87,11.66,153123,179775813.23,1.79,-0.26,-0.03,1.92
2025-03-18,000901,11.71,11.66,11.76,11.63,110488,129059008.9,1.11,-0.34,-0.04,1.38
2025-03-19,000901,11.69,11.91,12.22,11.63,296088,353716752.55,5.06,2.14,0.25,3.71
2025-03-20,000901,11.84,11.99,12.15,11.83,248886,299026522.25,2.69,0.67,0.08,3.12
2025-03-21,000901,11.94,11.81,12.05,11.79,206401,246095907.42,2.17,-1.5,-0.18,2.59
2025-03-24,000901,11.74,11.37,11.78,11.09,243152,276702166.23,5.84,-3.73,-0.44,3.05
2025-03-25,000901,11.35,11.44,11.64,11.28,160819,184667179.86,3.17,0.62,0.07,2.01
2025-03-26,000901,11.41,11.48,11.65,11.36,115426,132874891.99,2.53,0.35,0.04,1.45
2025-03-27,000901,11.46,11.33,11.49,11.13,129261,146378642.01,3.14,-1.31,-0.15,1.62
2025-03-28,000901,11.3,11.14,11.42,11.13,100918,113293836.2,2.56,-1.68,-0.19,1.26
2025-03-31,000901,11.08,11.04,11.16,10.87,149625,164618012.21,2.6,-0.9,-0.1,1.87
2025-04-01,000901,11.05,11.22,11.45,11.05,174217,195758284.95,3.62,1.63,0.18,2.18
2025-04-02,000901,11.19,11.12,11.24,11.08,98853,110085819.33,1.43,-0.89,-0.1,1.24
2025-04-03,000901,11.01,10.98,11.28,10.91,117019,129492077.67,3.33,-1.26,-0.14,1.47
2025-04-07,000901,10.3,9.88,10.37,9.88,199755,199504424.37,4.46,-10.02,-1.1,2.5
2025-04-08,000901,9.71,9.6,9.94,9.35,266595,256429792.35,5.97,-2.83,-0.28,3.34
2025-04-09,000901,9.48,10.1,10.18,9.13,275110,267751825.35,10.94,5.21,0.5,3.45
2025-04-10,000901,10.18,10.13,10.39,10.11,222996,228182925.82,2.77,0.3,0.03,2.79
2025-04-11,000901,10.14,10.19,10.3,10.07,181224,184207402.3,2.27,0.59,0.06,2.27
2025-04-14,000901,10.25,10.28,10.38,10.23,139787,143987361.51,1.47,0.88,0.09,1.75
2025-04-15,000901,10.28,10.23,10.35,10.16,94127,96265722.58,1.85,-0.49,-0.05,1.18
2025-04-16,000901,10.26,10.1,10.31,9.91,136674,137964300.33,3.91,-1.27,-0.13,1.71
2025-04-17,000901,10.12,10.14,10.32,10.06,115156,117486544.12,2.57,0.4,0.04,1.44
2025-04-18,000901,10.11,10.17,10.19,10.01,81448,82227691.06,1.78,0.3,0.03,1.02
2025-04-21,000901,10.19,10.34,10.4,10.11,126602,130485801.78,2.85,1.67,0.17,1.59
2025-04-22,000901,10.31,10.46,10.52,10.27,144370,150035718.73,2.42,1.16,0.12,1.81
2025-04-23,000901,10.53,10.64,10.68,10.52,146212,154974349.69,1.53,1.72,0.18,1.83
2025-04-24,000901,10.66,10.58,10.67,10.39,136542,144023113.82,2.63,-0.56,-0.06,1.71
2025-04-25,000901,10.64,10.37,10.67,10.33,147135,153368204.09,3.21,-1.98,-0.21,1.84
2025-04-28,000901,10.37,10.13,10.4,10.11,121058,123306181.02,2.8,-2.31,-0.24,1.52
2025-04-29,000901,10.12,10.24,10.3,10.06,90698,92837512.67,2.37,1.09,0.11,1.14
2025-04-30,000901,10.2,10.24,10.32,10.11,118288,120927383.16,2.05,0.0,0.0,1.48
2025-05-06,000901,10.31,10.62,10.63,10.31,156775,165272018.38,3.13,3.71,0.38,1.96
2025-05-07,000901,10.75,10.96,11.09,10.65,283451,309107168.0,4.14,3.2,0.34,3.55
2025-05-08,000901,10.94,11.25,11.25,10.86,274054,305353644.61,3.56,2.65,0.29,3.43
2025-05-09,000901,11.38,11.18,11.71,11.07,335265,379930551.75,5.69,-0.62,-0.07,4.2
2025-05-12,000901,11.02,11.55,11.65,11.02,412848,474231140.86,5.64,3.31,0.37,5.17
2025-05-13,000901,11.55,11.42,11.75,11.39,289274,333563835.3,3.12,-1.13,-0.13,3.62
2025-05-14,000901,11.43,11.34,11.5,11.25,182655,207886460.47,2.19,-0.7,-0.08,2.29
